15:10:14.996 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
15:10:16.423 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,212] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
15:10:16.480 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 31 ms to scan 1 urls, producing 3 keys and 6 values 
15:10:16.515 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 4 keys and 9 values 
15:10:16.550 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 29 ms to scan 1 urls, producing 3 keys and 10 values 
15:10:16.847 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 293 ms to scan 201 urls, producing 0 keys and 0 values 
15:10:16.865 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 5 values 
15:10:16.881 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 1 keys and 7 values 
15:10:16.900 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 2 keys and 8 values 
15:10:17.126 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 223 ms to scan 201 urls, producing 0 keys and 0 values 
15:10:17.128 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
15:10:17.129 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$327/1482748887
15:10:17.129 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$328/494894055
15:10:17.130 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
15:10:17.131 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
15:10:17.136 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
15:10:19.892 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-e6614ae1-42b4-42f1-b5f3-1febbaf3aafe] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
