15:10:11.863 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
15:10:13.587 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,212] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
15:10:13.775 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 123 ms to scan 1 urls, producing 3 keys and 6 values 
15:10:13.877 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 25 ms to scan 1 urls, producing 4 keys and 9 values 
15:10:13.916 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 35 ms to scan 1 urls, producing 3 keys and 10 values 
15:10:14.490 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 568 ms to scan 194 urls, producing 0 keys and 0 values 
15:10:14.510 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 1 keys and 5 values 
15:10:14.531 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 1 keys and 7 values 
15:10:14.549 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 2 keys and 8 values 
15:10:14.828 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 276 ms to scan 194 urls, producing 0 keys and 0 values 
15:10:14.829 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
15:10:14.830 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$328/1483145520
15:10:14.830 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/1961129028
15:10:14.831 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
15:10:14.831 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
15:10:14.835 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
15:10:18.959 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
15:10:18.984 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
15:10:19.003 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] try to re connect to a new server ,server is  not appointed,will choose a random server.
15:10:19.004 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
15:10:19.006 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
15:10:19.175 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:19.176 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,54] - limitTime:5.0
15:10:19.393 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:19.509 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,49] - isMultiInstance:false
15:10:19.707 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 3 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:20.119 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 4 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:20.444 [main] INFO  c.r.g.CFGatewatApplication - [logStartupProfileInfo,667] - The following profiles are active: dev
15:10:20.635 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 5 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:21.262 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 6 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:21.984 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 7 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:22.795 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] fail to connect server,after trying 8 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
15:10:23.832 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] success to connect a server  [127.0.0.1:8848],connectionId=1661843423700_127.0.0.1_27413
15:10:23.832 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507]Notify connected event to listeners.
15:10:23.832 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,625] - [config-0-b4e4434c-145e-484f-b6f2-13a885c10507] Connected,notify listen context...
15:10:29.198 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
15:10:29.492 [main] INFO  c.a.n.client.naming - [call,65] - initializer namespace from System Property :null
15:10:29.493 [main] INFO  c.a.n.client.naming - [call,74] - initializer namespace from System Environment :null
15:10:29.494 [main] INFO  c.a.n.client.naming - [call,84] - initializer namespace from System Property :null
15:10:29.529 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]RpcClient init label, labels={module=naming, source=sdk}
15:10:29.532 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
15:10:29.534 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
15:10:29.649 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b] Success to connect to server [127.0.0.1:8848] on start up,connectionId=1661843429542_127.0.0.1_27478
15:10:29.649 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
15:10:29.650 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
15:10:29.651 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
15:10:29.652 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [78d9d255-3bcf-4c46-bb53-bd90fd61de1b]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.NamingGrpcConnectionEventListener
15:10:29.924 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayBlockExceptionHandler,134] - [Sentinel SpringCloudGateway] register SentinelGatewayBlockExceptionHandler
15:10:30.345 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,346] - [config_rpc_client] [subscribe] sentinel-ruoyi-gateway+DEFAULT_GROUP
15:10:30.356 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,128] - [config_rpc_client] [add-listener] ok, tenant=, dataId=sentinel-ruoyi-gateway, group=DEFAULT_GROUP, cnt=1
